,Country,PDI,IDV,MAS,UAI,LTO
1,Japan,54.0,46.0,95.0,92.0,80.0
2,Hungary,46.0,55.0,88.0,82.0,
3,Austria,11.0,55.0,79.0,70.0,
4,Venezuela,81.0,12.0,73.0,76.0,
5,Italy,50.0,76.0,70.0,75.0,
6,Switzerland,34.0,68.0,70.0,58.0,
7,Mexico,81.0,30.0,69.0,82.0,
8,Ireland,28.0,70.0,68.0,35.0,
9,Jamaica,45.0,39.0,68.0,13.0,
10,China,80.0,20.0,66.0,40.0,118.0
11,Germany,35.0,67.0,66.0,65.0,31.0
12,United Kingdom,35.0,89.0,66.0,35.0,25.0
13,Colombia,67.0,13.0,64.0,80.0,
14,Philippines,94.0,32.0,64.0,44.0,19.0
15,Poland,68.0,60.0,64.0,93.0,
16,Ecuador,78.0,8.0,63.0,67.0,
17,South Africa,49.0,65.0,63.0,49.0,
18,United States,40.0,91.0,62.0,46.0,29.0
19,Australia,36.0,90.0,61.0,51.0,31.0
20,New Zealand,22.0,79.0,58.0,49.0,30.0
21,Czech Republic,57.0,58.0,57.0,74.0,
22,Greece,60.0,35.0,57.0,112.0,
23,Hong Kong,68.0,25.0,57.0,29.0,96.0
24,Argentina,49.0,46.0,56.0,86.0,
25,India,77.0,48.0,56.0,40.0,61.0
26,Belgium,65.0,75.0,54.0,94.0,
27,Egypt,80.0,38.0,52.0,68.0,
28,Iraq,80.0,38.0,52.0,68.0,
29,Kuwait,80.0,38.0,52.0,68.0,
30,Lebanon,80.0,38.0,52.0,68.0,
31,Libya,80.0,38.0,52.0,68.0,
32,Saudi Arabia,80.0,38.0,52.0,68.0,
33,United Arab Emirates,80.0,38.0,52.0,68.0,
34,Malaysia,104.0,26.0,50.0,36.0,
35,Pakistan,55.0,14.0,50.0,70.0,
36,Brazil,69.0,38.0,49.0,76.0,65.0
37,Singapore,74.0,20.0,48.0,8.0,48.0
38,Israel,13.0,54.0,47.0,81.0,
39,Ghana,77.0,20.0,46.0,54.0,16.0
40,Indonesia,78.0,14.0,46.0,48.0,
41,Nigeria,77.0,20.0,46.0,54.0,16.0
42,Sierra Leone,77.0,20.0,46.0,54.0,16.0
43,Taiwan,58.0,17.0,45.0,69.0,87.0
44,Turkey,66.0,37.0,45.0,85.0,
45,Panama,95.0,11.0,44.0,86.0,
46,France,68.0,71.0,43.0,86.0,
47,Iran,58.0,41.0,43.0,59.0,
48,Peru,64.0,16.0,42.0,87.0,
49,Spain,57.0,51.0,42.0,86.0,
50,Ethiopia,64.0,27.0,41.0,52.0,25.0
51,Kenya,64.0,27.0,41.0,52.0,25.0
52,Tanzania,64.0,27.0,41.0,52.0,25.0
53,Zambia,64.0,27.0,41.0,52.0,25.0
54,El Salvador,66.0,19.0,40.0,94.0,
55,South Korea,60.0,18.0,39.0,85.0,75.0
56,Uruguay,61.0,36.0,38.0,100.0,
57,Guatemala,95.0,6.0,37.0,101.0,
58,Thailand,64.0,20.0,34.0,64.0,56.0
59,Portugal,63.0,27.0,31.0,104.0,
60,Chile,63.0,23.0,28.0,86.0,
61,Finland,33.0,63.0,26.0,59.0,
62,Costa Rica,35.0,15.0,21.0,86.0,
63,Denmark,18.0,74.0,16.0,23.0,
64,Netherlands,38.0,80.0,14.0,53.0,44.0
65,Norway,31.0,69.0,8.0,50.0,20.0
66,Sweden,31.0,71.0,5.0,29.0,33.0
